"TreeDepth","PID","Process","Offset","HandleValue","Type","GrantedAccess","Name"
0,6632,"setup.exe","0x868fd4c8bab0","0x1cc","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8b810","0x1d0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8b8f0","0x1d4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8ca70","0x1d8","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8b650","0x1dc","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8cc30","0x1e0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8bb90","0x1e4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3c6abe0","0x1e8","Semaphore","0x100003",""
0,6632,"setup.exe","0x868fd3c6a560","0x1ec","Semaphore","0x100003",""
0,6632,"setup.exe","0x868fd4c8cd10","0x1f0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8bc70","0x1f4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8bd50","0x1f8","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8c1b0","0x1fc","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8c0d0","0x200","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8c530","0x204","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8be30","0x208","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8bf10","0x20c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8cb50","0x210","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8c290","0x214","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8c370","0x218","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8c450","0x21c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e2f0","0x220","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8df70","0x224","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8d870","0x228","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8d330","0x22c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8d6b0","0x230","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8d790","0x234","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8d410","0x238","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8db10","0x23c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e670","0x240","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e3d0","0x244","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e4b0","0x248","EtwRegistration","0x804",""
0,6632,"setup.exe","0xa486d2c4bf70","0x24c","Key","0x1","MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER"
0,6632,"setup.exe","0x868fd4c8d950","0x250","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8da30","0x254","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e830","0x258","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e750","0x25c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e910","0x260","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e590","0x264","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8dcd0","0x268","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3c6a7e0","0x26c","Semaphore","0x100003",""
0,6632,"setup.exe","0x868fd3c6aee0","0x270","Semaphore","0x100003",""
0,6632,"setup.exe","0x868fd3c6b860","0x274","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd63a2380","0x278","File","0x100003","\Device\KsecDD"
0,6632,"setup.exe","0x868fd4c8e210","0x27c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e130","0x280","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8d4f0","0x284","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8d5d0","0x288","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3c6bbe0","0x28c","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd3c6cce0","0x290","Event","0x1f0003",""
0,6632,"setup.exe","0xa486d2c4b770","0x294","Key","0x20019","MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\HWORDER"
0,6632,"setup.exe","0xa486d2c4a570","0x298","Key","0x20019","MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\PROVIDERORDER"
0,6632,"setup.exe","0x868fd3c6c960","0x29c","Semaphore","0x100003",""
0,6632,"setup.exe","0x868fd3c6c260","0x2a0","Semaphore","0x100003",""
0,6632,"setup.exe","0x868fd4c8ddb0","0x2a4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8ed70","0x2a8","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8e9f0","0x2ac","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8de90","0x2b0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8ead0","0x2b4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3c6c2e0","0x2b8","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd45b2490","0x2bc","Mutant","0x1f0001",""
0,6632,"setup.exe","0x868fd3c6c360","0x2c0","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd45b2cb0","0x2c4","Mutant","0x1f0001",""
0,6632,"setup.exe","0x868fd4c8ebc0","0x2c8","IoCompletion","0x1f0003",""
0,6632,"setup.exe","0x868fd3a882a0","0x2cc","TpWorkerFactory","0xf00ff",""
0,6632,"setup.exe","0x868fd4895360","0x2d0","IRTimer","0x100002",""
0,6632,"setup.exe","0x868fd3534710","0x2d4","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4895140","0x2d8","IRTimer","0x100002",""
0,6632,"setup.exe","0x868fd35354e0","0x2dc","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4c8ec90","0x2e0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8fe10","0x2e4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c90190","0x2e8","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd066f080","0x2ec","Thread","0x1fffff","Tid 5812 Pid 6632"
0,6632,"setup.exe","0x868fd3c6c3e0","0x2f0","Event","0x1f0003",""
0,6632,"setup.exe","0xa486d2c4a670","0x2f4","Key","0xf003f","MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\PROTOCOL_CATALOG9"
0,6632,"setup.exe","0x868fd3c6da60","0x2f8","Event","0x1f0003",""
0,6632,"setup.exe","0xa486d2c4a770","0x2fc","Key","0xf003f","MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAMETERS\NAMESPACE_CATALOG5"
0,6632,"setup.exe","0x868fd4c8f7f0","0x300","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3c6d7e0","0x304","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd63a26a0","0x308","File","0x16019f","\Device\Afd\Endpoint"
0,6632,"setup.exe","0x868fd3c6dc60","0x30c","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd066f080","0x310","Thread","0x1003","Tid 5812 Pid 6632"
0,6632,"setup.exe","0x868fd4c8f710","0x314","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8f8d0","0x318","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd45b3610","0x31c","Mutant","0x1f0001",""
0,6632,"setup.exe","0x868fd45b2710","0x320","Mutant","0x1f0001",""
0,6632,"setup.exe","0xa486cca06060","0x324","Token","0xf01ff",""
0,6632,"setup.exe","0x868fd45b27b0","0x328","Mutant","0x1f0001",""
0,6632,"setup.exe","0x868fd3c6e060","0x32c","Semaphore","0x100003",""
0,6632,"setup.exe","0x868fd4c8f0f0","0x330","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd45b3a70","0x334","Mutant","0x1f0001",""
0,6632,"setup.exe","0x868fd02fb080","0x338","Thread","0x1fffff","Tid 3120 Pid 6632"
0,6632,"setup.exe","0x868fd4c8f9b0","0x33c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8ef30","0x340","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3c6dce0","0x344","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd4c8f2b0","0x348","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c906d0","0x34c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c900b0","0x350","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd39b5340","0x354","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd436cfe2","0x358","ActivityReference","0x1f0003",""
0,6632,"setup.exe","0x868fd028a540","0x35c","ALPC Port","0x1f0001",""
0,6632,"setup.exe","0x868fd63a3af0","0x360","File","0x100001","\Device\KsecDD"
0,6632,"setup.exe","0x868fd4f5bd30","0x364","File","0x12019f","\Device\NamedPipe\008B63E6"
0,6632,"setup.exe","0xa486d2c4b570","0x368","Key","0xf003f","USER"
0,6632,"setup.exe","0x868fd4c8f480","0x36c","IoCompletion","0x1f0003",""
0,6632,"setup.exe","0x868fd42560a0","0x370","TpWorkerFactory","0xf00ff",""
0,6632,"setup.exe","0x868fd4893c00","0x374","IRTimer","0x100002",""
0,6632,"setup.exe","0x868fd3537220","0x378","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4893af0","0x37c","IRTimer","0x100002",""
0,6632,"setup.exe","0x868fd3535f70","0x380","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4c90350","0x384","EtwRegistration","0x804",""
0,6632,"setup.exe","0xa486d2c4c070","0x388","Key","0x20019","MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\IDS"
0,6632,"setup.exe","0xa486cca06060","0x38c","Token","0x8",""
0,6632,"setup.exe","0x868fd4c90890","0x390","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd618cdf0","0x394","Mutant","0x1f0001",""
0,6632,"setup.exe","0x868fd3c6d460","0x39c","Semaphore","0x100003",""
0,6632,"setup.exe","0x868fd63a71a0","0x3a0","File","0x100080","\Device\Nsi"
0,6632,"setup.exe","0x868fd4c8f550","0x3b0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8fb70","0x3b4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c907b0","0x3b8","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8ee50","0x3bc","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c8f390","0x3c0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c90270","0x3c4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3ed6dd0","0x3c8","ALPC Port","0x1f0001",""
0,6632,"setup.exe","0x868fd4c8f630","0x3cc","EtwRegistration","0x804",""
