"TreeDepth","Offset","Name","Size"
0,"0x868fcdebec90","\Windows\System32\config\SAM.LOG2",216
0,"0x868fcdebee20","\Boot\BCD.LOG",216
0,"0x868fcdebf140","\Windows\bootstat.dat",216
0,"0x868fcdebf460","\Windows\System32\en-US\user32.dll.mui",216
0,"0x868fcdebf780","\Windows\System32\drivers\hidparse.sys",216
0,"0x868fcdebfaa0","\Windows\System32\win32kbase.sys",216
0,"0x868fcded10c0","\Windows\System32\drivers\wanarp.sys",216
0,"0x868fcded2930","\Windows\System32\drivers\winquic.sys",216
0,"0x868fcded3060","\Windows\System32\drivers\http.sys",216
0,"0x868fcded3a70","\Windows\System32\drivers\condrv.sys",216
0,"0x868fcded7280","\Windows\System32\drivers\monitor.sys",216
0,"0x868fcdf860a0","\$Extend\$Deleted:$I30:$INDEX_ALLOCATION",216
0,"0x868fcdf86210","\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf",216
0,"0x868fcdf864f0","\Windows\SysWOW64\ntdll.dll",216
0,"0x868fcdf86660","\$Extend\$RmMetadata\$Repair:$Verify:$DATA",216
0,"0x868fcdf867d0","\$Extend\$RmMetadata\$TxfLog:$I30:$INDEX_ALLOCATION",216
0,"0x868fcdf86940","\$Extend:$I30:$INDEX_ALLOCATION",216
0,"0x868fcdf86ab0","\$Extend\$RmMetadata\$Repair",216
0,"0x868fcdf871e0","\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA",216
0,"0x868fcdf874c0","\$Secure:$SII:$INDEX_ALLOCATION",216
0,"0x868fcdf877a0","\:$I30:$INDEX_ALLOCATION",216
0,"0x868fcdf87910","\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog",216
0,"0x868fcdf87d60","\$Directory",216
0,"0x868fd00030a0","\$Extend\$Reparse:$R:$INDEX_ALLOCATION",216
0,"0x868fd0003210","\:$I30:$INDEX_ALLOCATION",216
0,"0x868fd0003380","\$Directory",216
0,"0x868fd00034f0","\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000006",216
0,"0x868fd0003660","\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog",216
0,"0x868fd0003940","\$Directory",216
0,"0x868fd0003d90","\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION",216
0,"0x868fd00041e0","\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000003",216
0,"0x868fd0004630","\$Extend\$RmMetadata\$TxfLog\$Tops",216
0,"0x868fd00047a0","\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA",216
0,"0x868fd0004a80","\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog",216
0,"0x868fd0004d60","TxfLog",216
0,"0x868fd0004ed0","KtmLog",216
0,"0x868fd000b210","\Windows\System32\drivers\cdrom.sys",216
0,"0x868fd000b380","\Windows\System32\drivers\crashdmp.sys",216
0,"0x868fd000b4f0","\$Directory",216
0,"0x868fd000b7d0","\$Directory",216
0,"0x868fd000b940","\Windows\System32\drivers\Diskdump.sys",216
0,"0x868fd000bab0","\Windows\System32\drivers\lsi_sas.sys",216
0,"0x868fd000bd90","\Windows\System32\ntdll.dll",216
0,"0x868fd000c7a0","\$Directory",216
0,"0x868fd000ca80","\Windows\System32\drivers\rspndr.sys",216
0,"0x868fd000ced0","\Windows\System32\drivers\dumpfve.sys",216
0,"0x868fd00f5bb0","\Windows",216
0,"0x868fd00f61f0","\Windows\System32\clbcatq.dll",216
0,"0x868fd00f6e70","\Windows\WinSxS\amd64_dual_pci.inf_31bf3856ad364e35_10.0.17763.1_none_331c3561379fe082\pci.inf4e35_10.0.17763.1_none_331c3561379fe082\pci.inf",216
0,"0x868fd02ec0c0","\Windows\System32\imagehlp.dll",216
0,"0x868fd02ec3e0","\Windows\System32\ws2_32.dll",216
0,"0x868fd02ec700","\Windows\System32\GdiPlus.dll",216
0,"0x868fd02ec890","\Windows\System32\msvcrt.dll",216
0,"0x868fd02eca20","\Windows\System32\wow64.dll",216
0,"0x868fd02eced0","\swapfile.sys",216
0,"0x868fd02ed1f0","\Sessions",216
0,"0x868fd02ed510","\Windows\System32\coml2.dll",216
0,"0x868fd02ed6a0","\Windows\System32\ole32.dll",216
0,"0x868fd02ed830","\Windows\System32\kernel32.dll",216
0,"0x868fd02edce0","\Windows\System32\shlwapi.dll",216
0,"0x868fd02ede70","\Windows\System32\comdlg32.dll",216
0,"0x868fd0327510","\Windows\System32\win32kfull.sys",216
0,"0x868fd03e20a0","\$Mft::$BITMAP",216
0,"0x868fd03e2210","\$MftMirr",216
0,"0x868fd03e2380","\$LogFile",216
0,"0x868fd03e2660","\$MapAttributeValue",216
0,"0x868fd03e2940","\$Mft",216
0,"0x868fd03e2c20","\$Secure:$SDS:$DATA",216
0,"0x868fd03e2d90","\SystemRoot\System32\Config\TxR\{093539f2-b8b8-11e8-abe9-e41d2d0dac50}.TM",216
0,"0x868fd03e3350","\$BitMap",216
0,"0x868fd03e3ed0","\Windows\System32\vertdll.dll",216
0,"0x868fd0581390","\Windows\System32\drivers\umbus.sys",216
0,"0x868fd0581670","\Windows\System32\drivers\i8042prt.sys",216
0,"0x868fd0581da0","\Windows\System32\smss.exe",216
0,"0x868fd0582080","\Windows\System32\drivers\kdnic.sys",216
0,"0x868fd0582920","\$Directory",216
0,"0x868fd0582a90","\$Directory",216
0,"0x868fd0583a60","\$Directory",216
0,"0x868fd0584300","\Windows\System32\drivers\vmmouse.sys",216
0,"0x868fd05845e0","\Windows\System32\drivers\kbdclass.sys",216
0,"0x868fd0584ba0","\Windows\System32\drivers\vm3dmp_loader.sys",216
0,"0x868fd0584e80","\Windows\System32\drivers\vm3dmp.sys",216
0,"0x868fd05a80c0","\Windows\System32\ucrtbase.dll",216
0,"0x868fd05a8250","\Windows\System32\bcrypt.dll",216
0,"0x868fd05a83e0","\Windows\System32\windows.storage.dll",216
0,"0x868fd05a8570","\Windows\System32\cryptsp.dll",216
0,"0x868fd05a8890","\Windows\System32\crypt32.dll",216
0,"0x868fd05a8a20","\Windows\System32\win32u.dll",216
0,"0x868fd05a8bb0","\Windows\System32\msvcp_win.dll",216
0,"0x868fd05a8d40","\Windows\System32\cfgmgr32.dll",216
0,"0x868fd05a8ed0","\Windows\System32\profapi.dll",216
0,"0x868fd05a91f0","\Windows\System32\bcryptprimitives.dll",216
0,"0x868fd05a9380","\Windows\System32\comctl32.dll",216
0,"0x868fd05a9510","\Windows\System32\KernelBase.dll",216
0,"0x868fd05a96a0","\Windows\System32\powrprof.dll",216
0,"0x868fd05a9830","\Windows\System32\kernel.appcore.dll",216
0,"0x868fd05a99c0","\Windows\System32\msasn1.dll",216
0,"0x868fd05a9b50","\Windows\System32\wintrust.dll",216
0,"0x868fd05a9ce0","\Windows\SysWOW64\combase.dll",216
0,"0x868fd05a9e70","\Windows\System32\gdi32full.dll",216
0,"0x868fd05da0c0","\Windows\System32\wow64cpu.dll",216
0,"0x868fd05da250","\Windows\System32\shell32.dll",216
0,"0x868fd05da3e0","\Windows\System32\Wldap32.dll",216
0,"0x868fd05da570","\Windows\System32\imm32.dll",216
0,"0x868fd05da700","\Windows\System32\oleaut32.dll",216
0,"0x868fd05da890","\Windows\System32\nsi.dll",216
0,"0x868fd05daa20","\Windows\System32\advapi32.dll",216
0,"0x868fd05dabb0","\Windows\System32\wow64win.dll",216
0,"0x868fd05dad40","\Windows\System32\user32.dll",216
0,"0x868fd05daed0","\Windows\System32\setupapi.dll",216
0,"0x868fd05db1f0","\Windows\System32\psapi.dll",216
0,"0x868fd05db380","\Windows\System32\msctf.dll",216
0,"0x868fd05db510","\Windows\System32\sechost.dll",216
0,"0x868fd05db6a0","\Windows\System32\rpcrt4.dll",216
0,"0x868fd05db830","\Windows\System32\combase.dll",216
0,"0x868fd05db9c0","\Windows\System32\gdi32.dll",216
0,"0x868fd05dbb50","\Windows\System32\SHCore.dll",216
0,"0x868fd05dbce0","\Windows\System32\normaliz.dll",216
0,"0x868fd05dbe70","\Windows\System32\difxapi.dll",216
0,"0x868fd060fec0","\$Directory",216
0,"0x868fd0610bb0","\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl",216
0,"0x868fd0611b80","\Windows\System32\config\TxR\{093539f2-b8b8-11e8-abe9-e41d2d0dac50}.TM.blf",216
0,"0x868fd0611cf0","\$Directory",216
0,"0x868fd0612870","\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl",216
0,"0x868fd0612cc0","\SystemRoot\System32\Config\TxR\{093539f2-b8b8-11e8-abe9-e41d2d0dac50}.TM",216
0,"0x868fd06133f0","\$Directory",216
0,"0x868fd0613560","\Windows\System32\config\TxR\{093539f2-b8b8-11e8-abe9-e41d2d0dac50}.TMContainer00000000000000000001.regtrans-ms",216
0,"0x868fd06136d0","\$Secure:$SDH:$INDEX_ALLOCATION",216
0,"0x868fd06139b0","\Windows\System32\config\TxR\{093539f2-b8b8-11e8-abe9-e41d2d0dac50}.TMContainer00000000000000000002.regtrans-ms",216
0,"0x868fd0613e00","\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl",216
0,"0x868fd06140e0","\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl",216
0,"0x868fd0614530","\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl",216
0,"0x868fd0614980","\$Directory",216
0,"0x868fd0614af0","\$ConvertToNonresident",216
0,"0x868fd06150d0","\Windows\SysWOW64\kernel.appcore.dll",216
0,"0x868fd06153f0","\Windows\SysWOW64\KernelBase.dll",216
0,"0x868fd0615580","\Windows\SysWOW64\psapi.dll",216
0,"0x868fd0615710","\Windows\SysWOW64\cryptsp.dll",216
0,"0x868fd06158a0","\Windows\SysWOW64\msvcp_win.dll",216
