"TreeDepth","Offset","Base","Size","Name","Path","File output"
0,"0x868fcde38050","0xf80136b30000","0x4f000","srvnet.sys","\SystemRoot\System32\DRIVERS\srvnet.sys","Disabled"
0,"0x868fcde38d50","0xf801366e0000","0x29000","luafv.sys","\SystemRoot\system32\drivers\luafv.sys","Disabled"
0,"0x868fcde39570","0xf80136ae0000","0x46000","mrxsmb20.sys","\SystemRoot\system32\DRIVERS\mrxsmb20.sys","Disabled"
0,"0x868fcde39710","0xf80136a00000","0x25000","bowser.sys","\SystemRoot\system32\DRIVERS\bowser.sys","Disabled"
0,"0x868fcde398b0","0xf801376b0000","0x70000","dxgmms1.sys","\SystemRoot\System32\drivers\dxgmms1.sys","Disabled"
0,"0x868fcde39a50","0xf80136b90000","0xc5000","srv2.sys","\SystemRoot\System32\DRIVERS\srv2.sys","Disabled"
0,"0x868fcde39bf0","0xf80136740000","0x77000","cldflt.sys","\SystemRoot\system32\drivers\cldflt.sys","Disabled"
0,"0x868fcde39d90","0xf801367c0000","0x1b000","storqosflt.sys","\SystemRoot\system32\drivers\storqosflt.sys","Disabled"
0,"0x868fcdebf260","0xf801360a0000","0x13000","HIDPARSE.SYS","\SystemRoot\System32\drivers\HIDPARSE.SYS","Disabled"
0,"0x868fcdebfd50","0xf80137650000","0x1f000","dump_LSI_SAS.sys","\SystemRoot\System32\Drivers\dump_LSI_SAS.sys","Disabled"
0,"0x868fd00a6390","0xf801359e0000","0x13000","afunix.sys","\SystemRoot\system32\drivers\afunix.sys","Disabled"
0,"0x868fd00a6530","0xf80137620000","0xf000","dump_storport.sys","\SystemRoot\System32\Drivers\dump_diskdump.sys","Disabled"
0,"0x868fd00a66d0","0xf80135b20000","0x7a000","rdbss.sys","\SystemRoot\system32\DRIVERS\rdbss.sys","Disabled"
0,"0x868fd00a6870","0xf80135e10000","0x11000","CompositeBus.sys","\SystemRoot\System32\DriverStore\FileRepository\compositebus.inf_amd64_e4d35af746093dc3\CompositeBus.sys","Disabled"
0,"0x868fd00a6a10","0xf80135ee0000","0xa000","vm3dmp_loader.sys","\SystemRoot\system32\DRIVERS\vm3dmp_loader.sys","Disabled"
0,"0x868fd00a6bb0","0xf80135ff0000","0xd000","NdisVirtualBus.sys","\SystemRoot\System32\drivers\NdisVirtualBus.sys","Disabled"
